estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
LA ELIPA;260;40.42636309834155;-3.6503459933878775;244.233;202.171;217.090;192.347;203.219;228.621;209.797;159.303;230.718;262.694;256.771;254.287
ESTADIO METROPOLITANO;286;40.43273720792495;-3.5997700942810633;75.953;89.451;82.476;90.826;58.503;120.584;104.109;38.554;99.042;88.931;64.000;87.512
BUENOS AIRES;22;40.392029424976066;-3.6540818475528507;146.456;140.066;153.151;139.503;148.557;147.279;132.674;101.549;142.244;164.874;160.247;165.666
PAVONES;178;40.40069892028203;-3.635142485615236;181.753;171.662;184.225;164.137;171.699;174.424;151.203;103.552;169.061;202.822;189.782;169.048
VILLAVERDE ALTO;273;40.34304059661272;-3.7128860836812505;238.080;233.508;255.806;232.802;246.009;243.833;235.084;179.947;235.233;270.181;260.994;242.951
MANUELA MALASAÑA;217;40.31250313809608;-3.865961525858677;73.196;72.434;79.684;71.341;77.005;73.154;63.703;45.721;73.537;86.302;80.578;71.792
BEGOÑA;188;40.47928056765311;-3.6852218471431613;319.463;325.043;346.599;315.050;319.614;320.954;297.854;206.212;313.934;376.331;344.697;292.339
BAUNATAL;282;40.55152341906729;-3.633700162171797;64.266;64.078;66.886;60.126;64.791;62.754;53.127;37.626;60.203;72.417;66.663;59.769
MIRASIERRA;326;40.48992762604313;-3.715676151981673;89.905;89.825;93.227;79.576;84.292;85.361;70.213;42.094;83.142;99.769;93.334;82.926
ASCAO;136;40.42982383373863;-3.6408172008025357;186.487;191.005;205.234;189.235;200.486;188.350;170.518;122.203;180.628;210.153;198.521;180.591
EL CASAR;228;40.32088129598342;-3.7109826896288434;129.663;130.145;142.481;124.602;130.431;135.781;114.221;82.680;140.787;161.375;150.536;129.977
ARGANZUELA-PLANETARIO;259;40.39373330745473;-3.6889104120149065;123.395;124.050;129.756;114.423;123.875;118.020;96.278;58.931;119.830;144.158;127.290;106.335
CARABANCHEL ALTO;255;40.37344562902997;-3.7526327346389667;88.060;86.648;93.619;82.932;89.083;86.839;74.768;57.851;83.376;98.310;95.585;89.926
AVENIDA DE GUADALAJARA;324;40.422019522281936;-3.6118170417307702;107.323;95.880;100.345;88.104;93.518;99.323;81.362;57.235;101.432;120.486;116.214;114.905
LAS ROSAS;325;40.42329964124259;-3.6030212331904545;109.502;97.597;102.918;91.031;95.138;110.082;89.002;58.491;106.075;120.680;114.354;118.037
LA PESETA;256;40.365853199332285;-3.75772815598423;83.038;80.929;87.420;76.128;77.559;76.143;65.652;46.635;71.706;85.967;82.558;78.464
LUCERO;130;40.405837052937905;-3.745669386211217;283.817;273.673;297.139;270.207;287.341;283.763;261.257;197.962;278.809;322.926;310.168;296.530
LACOMA;152;40.48401259360423;-3.7224503432365132;102.850;104.587;111.464;95.251;98.150;95.588;82.591;52.303;92.509;109.753;104.123;96.944
VALDEZARZA;148;40.46418399232399;-3.7155815733952178;116.001;115.185;123.346;108.933;113.195;109.964;96.327;68.366;108.313;123.723;118.179;112.618
MONCLOA;53;40.43499728002101;-3.719376539176725;1.685.405;1.776.573;1.876.213;1.652.694;1.715.605;1.667.238;1.541.162;1.052.475;1.816.464;2.097.449;1.930.335;1.645.470
MONCLOA;125;40.434944309581255;-3.719376539176725;1.685.405;1.776.573;1.876.213;1.652.694;1.715.605;1.667.238;1.541.162;1.052.475;1.816.464;2.097.449;1.930.335;1.645.470
MANOTERAS;265;40.475678577750024;-3.6622628952812084;81.449;78.971;84.953;75.530;79.126;76.904;65.958;48.309;74.294;88.539;85.190;80.720
CONGOSTO;27;40.37304835073184;-3.619075948241192;125.412;122.456;132.376;119.197;127.600;123.686;111.451;79.806;121.834;142.508;134.243;127.611
BARAJAS;160;40.47417774862373;-3.581729228914771;181.071;172.889;187.709;170.739;179.329;174.766;163.092;124.053;172.706;200.076;184.181;172.361
HOSPITAL SEVERO OCHOA;234;40.324324374567254;-3.769325855148275;69.483;67.363;73.830;66.159;71.474;69.312;59.713;42.512;63.389;75.920;73.491;64.419
MANUEL DE FALLA;281;40.54772720421844;-3.645498840832059;68.954;68.528;74.053;64.970;68.808;67.430;56.387;45.570;65.125;77.301;72.002;63.854
LA GRANJA;278;40.52536485023676;-3.65745120969531;58.627;58.800;62.912;59.690;61.847;59.883;57.172;40.530;56.957;66.560;61.384;51.708
COSLADA CENTRAL;288;40.42307893107696;-3.560780072014987;187.096;189.687;197.605;177.853;184.577;183.421;159.279;105.047;180.110;212.467;197.929;178.943
ALONSO CANO;143;40.43816667799946;-3.6990894323821264;182.850;185.822;193.483;173.649;176.259;171.680;152.900;90.461;172.526;203.741;191.410;160.851
ANTONIO MACHADO;149;40.469481036299115;-3.717248520981488;127.185;127.247;135.450;118.178;123.037;117.494;96.730;64.027;114.987;134.840;129.099;121.229
BARRIO DEL PILAR;162;40.47592577313553;-3.7026124847275756;300.196;276.623;291.836;264.655;276.060;276.026;249.073;178.136;258.549;310.445;290.299;288.855
CUATRO VIENTOS;203;40.37929003421587;-3.792320273980148;192.739;199.407;228.951;197.182;211.522;214.116;182.365;116.271;195.413;253.124;230.867;197.028
CONCHA ESPINA;168;40.450844269913276;-3.6770289770914966;141.581;139.923;154.656;129.873;129.747;128.640;101.792;59.901;126.228;146.514;144.959;124.886
VENTILLA;163;40.468580538823346;-3.695389045187074;112.348;108.616;116.948;108.479;112.183;111.775;98.658;70.644;106.337;125.929;121.017;109.556
DUQUE DE PASTRANA;165;40.4667089166188;-3.6786604577078457;56.104;57.368;59.945;51.498;56.669;57.295;41.050;20.732;53.164;66.031;62.683;50.536
MAR DE CRISTAL;157;40.468209745745085;-3.6377079297728274;281.716;266.813;283.697;252.524;268.979;262.365;234.746;163.840;259.219;305.376;283.920;262.026
MAR DE CRISTAL;71;40.46824505937159;-3.6377079297728274;281.716;266.813;283.697;252.524;268.979;262.365;234.746;163.840;259.219;305.376;283.920;262.026
